section,subsection,metric,chart_type,project_or_scope,sector,priority,likely_sources,source_relationship,availability_status,notes
All tokens/projects,Interactive price charts,Price performance,line,All projects,All,P0,"TradingView,CoinGecko,DefiLlama coins",third_party,likely_available,"Good first metric; definitions are standard enough for MVP."
All tokens/projects,Interactive price charts,Market cap performance,line,All projects,All,P0,"CoinGecko,DefiLlama coins,Token Terminal",third_party,likely_available,"Use consistent source across projects when possible."
All tokens/projects,Adoption metrics,Active users,line,All projects,All,P0,"Artemis,Token Terminal,Dune,project-native dashboards",mixed,needs_source_map,"Definitions vary by project; must store methodology and confidence."
All tokens/projects,Adoption metrics,Volume by sector,stacked_bar,All projects,All,P0,"DefiLlama,Token Terminal,Artemis,Dune,project-native dashboards",mixed,needs_source_map,"Separate spot, perps, lending, vaults, and other derivatives."
All tokens/projects,Financials,TVL by type,stacked_area,All projects,All,P0,"DefiLlama,project-native dashboards,Token Terminal,Dune",mixed,needs_source_map,"Must distinguish LP, lending, borrowing, vaults, and staked/restaked assets where source allows."
All tokens/projects,Financials,Fees,line,All projects,All,P0,"DefiLlama fees,Token Terminal,project-native dashboards",mixed,likely_available,"High-value MVP metric; source definitions need documentation."
All tokens/projects,Financials,Revenue,line,All projects,All,P0,"DefiLlama fees,Token Terminal,project-native dashboards",mixed,likely_available,"Revenue definitions can differ; store source notes."
All tokens/projects,Financials,Treasury balance,line,All projects,All,P1,"Token Terminal,project treasury dashboards,Dune,official disclosures",mixed,needs_source_map,"Likely uneven availability."
All tokens/projects,Tokenomics,Max supply,line,All token projects,All,P0,"CoinGecko,Token Terminal,official tokenomics docs",mixed,likely_available,"May be static but still needs source date."
All tokens/projects,Tokenomics,Circulating supply,line,All token projects,All,P0,"CoinGecko,Token Terminal,DefiLlama coins,official disclosures",mixed,likely_available,"Locked-token treatment must be explicit."
All tokens/projects,Tokenomics,Market cap and FDV,line,All token projects,All,P0,"CoinGecko,DefiLlama coins,Token Terminal",third_party,likely_available,"Good MVP comparison metric."
All tokens/projects,Tokenomics,Buybacks,line,Projects with buybacks,All,P1,"project-native dashboards,Token Terminal,Dune,official announcements",mixed,needs_source_map,"Show token count, dollar value, and percent of supply only when source supports it."
All tokens/projects,Tokenomics,Stablecoin supply,line,Stablecoin projects,Asset Management,P1,"DefiLlama stablecoins,project-native dashboards,Dune",mixed,needs_source_map,"Relevant for Ethena, Sky, Falcon, and similar projects."
All tokens/projects,Tokenomics,Yield-bearing stablecoin supply,line,Stablecoin projects,Asset Management,P1,"project-native dashboards,DefiLlama,Dune",mixed,needs_source_map,"Track staked/base ratio where possible."
All tokens/projects,Tokenomics,Yield-bearing stablecoin APY,line,Stablecoin projects,Asset Management,P1,"project-native dashboards,official app APIs,Dune",native,needs_source_map,"Use 1D, 7D, and 30D averages when supported."
All tokens/projects,Tokenomics,Total yield paid,line,Yield projects,All,P1,"project-native dashboards,Dune,Token Terminal",mixed,needs_source_map,"Definitions differ by protocol."
All tokens/projects,Tokenomics,Staking yield,line,Stakeable token projects,All,P1,"project-native dashboards,official app APIs,Dune",native,needs_source_map,"Track 1D, 7D, and 30D average yield."
All tokens/projects,Tokenomics,Locked token ratio,line,Stakeable token projects,All,P1,"project-native dashboards,Dune,official tokenomics disclosures",mixed,needs_source_map,"Important for ve-token projects."
Sector/project comparison,Comparison,All global metrics by sector and project,mixed,All projects,All,P0,"same as global metric sources",mixed,needs_source_map,"MVP should support toggling projects and sectors."
Sector/project comparison,Comparison,TVL adjusted for asset price changes,line,Lending spot derivatives,Multiple,P1,"project-native data,Dune,DefiLlama",mixed,hard,"Useful but more complex; likely post-MVP unless a source already computes it."
Spot,Uniswap,LP fees paid out by token,stacked_bar,Uniswap,Spot,P2,"Uniswap analytics,Dune,Token Terminal",mixed,needs_source_map,"Project-specific; defer until global financials work."
Spot,Uniswap,UNI token burns,line,Uniswap,Spot,P2,"Uniswap official sources,Dune",mixed,needs_source_map,"Confirm whether current token burn metric exists as stated."
Spot,Curve,veCRV to CRV circulation ratio,line,Curve,Spot,P2,"Curve dashboards,Dune,official docs",mixed,needs_source_map,"Useful ve-token comparison metric."
Spot,Curve,CRV incentives by timeframe,stacked_bar,Curve,Spot,P2,"Curve dashboards,Dune",mixed,needs_source_map,"Requires incentive definition."
Spot,Jupiter,Solana DEX aggregator volume share,line,Jupiter,Spot,P2,"Jupiter stats,DefiLlama,Dune,Solana dashboards",mixed,needs_source_map,"Need source for total Solana spot volume."
Spot,Jupiter,Active users by product,stacked_bar,Jupiter,Spot,P2,"Jupiter stats,Dune,Artemis",mixed,needs_source_map,"Product taxonomy needs confirmation."
Spot,Aerodrome,Base spot volume share,line,Aerodrome,Spot,P2,"Aerodrome analytics,DefiLlama,Dune",mixed,needs_source_map,"Need source for total Base spot volume."
Spot,Aerodrome,veAERO to AERO circulation ratio,line,Aerodrome,Spot,P2,"Aerodrome analytics,Dune,official docs",mixed,needs_source_map,"Can fit tokenomics detail view."
Spot,Aerodrome,AERO incentives by timeframe,stacked_bar,Aerodrome,Spot,P2,"Aerodrome analytics,Dune",mixed,needs_source_map,"Requires reliable incentive data."
Derivatives,Pendle,PT and YT volume,line,Pendle,Derivatives,P2,"Pendle analytics,Dune,DefiLlama",mixed,needs_source_map,"Project-specific but high editorial value."
Derivatives,Pendle,vePENDLE yield paid by token,stacked_bar,Pendle,Derivatives,P2,"Pendle analytics,Dune",mixed,needs_source_map,"Requires source and token-level definitions."
Derivatives,Pendle,Boros stats,mixed,Pendle,Derivatives,P2,"Boros app,official docs,Dune",native,unknown,"Needs product definition before charting."
Derivatives,Hyperliquid,HIP-3 volume,line,Hyperliquid,Derivatives,P2,"Hyperliquid dashboards,Dune,provider dashboards",mixed,needs_source_map,"Need provider breakdown definitions."
Derivatives,Hyperliquid,HIP-4 volume,line,Hyperliquid,Derivatives,P2,"Hyperliquid dashboards,Dune,provider dashboards",mixed,needs_source_map,"Need current HIP-4 status."
Derivatives,Hyperliquid,Liquidations by asset,stacked_bar,Hyperliquid,Derivatives,P2,"Hyperliquid dashboards,Dune,Coinglass-like sources",mixed,needs_source_map,"Potentially useful but verify source quality."
Lending,Aave,V3 deposits and utilization,line,Aave,Lending,P1,"Aave dashboards,DefiLlama,Dune,Token Terminal",mixed,needs_source_map,"Good candidate for first project detail."
Lending,Aave,V4 hub and spoke deposits,stacked_bar,Aave,Lending,P2,"Aave official sources,Dune",mixed,unknown,"Depends on V4 live data availability."
Lending,Morpho,AUM by vault asset curator,stacked_bar,Morpho,Lending,P1,"Morpho analytics,Dune,DefiLlama",mixed,needs_source_map,"Good project-detail candidate."
Lending,Morpho,Curator vault and market count,bar,Morpho,Lending,P2,"Morpho analytics,Dune",mixed,needs_source_map,"Useful but project-specific."
Lending,Kamino,AUM by vault asset curator,stacked_bar,Kamino,Lending,P2,"Kamino analytics,Dune,DefiLlama",mixed,needs_source_map,"Requires Solana source check."
Lending,Kamino,Looped assets deposits utilization yield,stacked_bar,Kamino,Lending,P2,"Kamino analytics,Dune",mixed,needs_source_map,"High complexity; defer unless Ian prioritizes."
Lending,Kamino,RWA deposits utilization APY yield,stacked_bar,Kamino,Lending,P2,"Kamino analytics,Dune",mixed,needs_source_map,"Needs asset taxonomy."
Lending,Sky,sUSDS stUSDS SKY APY,line,Sky,Lending,P1,"Sky app,official APIs,Dune",native,needs_source_map,"High editorial value for yield coverage."
Lending,Sky,Yield paid by asset,line,Sky,Lending,P1,"Sky app,Dune",mixed,needs_source_map,"Need clear calculation method."
Lending,Sky,Yield contributed per Agent,stacked_bar,Sky,Lending,P2,"Sky official data,Dune",mixed,needs_source_map,"Potentially distinctive but source may be immature."
Lending,Euler,AUM by vault asset curator,stacked_bar,Euler,Lending,P2,"Euler analytics,Dune,DefiLlama",mixed,needs_source_map,"Similar to Morpho; useful for lending comparison."
Tokenization,Ondo,Tokenized assets by asset sector,stacked_bar,Ondo,Tokenization,P1,"RWA.xyz,Ondo dashboards,DefiLlama,Dune",mixed,needs_source_map,"Good tokenization MVP candidate."
Tokenization,Ondo,Yield-bearing asset APY and yield paid,line,Ondo,Tokenization,P2,"Ondo dashboards,RWA.xyz,Dune",mixed,needs_source_map,"Needs source and product mapping."
Tokenization,Centrifuge,Tokenized assets by asset sector,stacked_bar,Centrifuge,Tokenization,P2,"RWA.xyz,Centrifuge dashboards,Dune",mixed,needs_source_map,"Potential tokenization detail view."
Tokenization,Maple,New loans originated,stacked_bar,Maple,Tokenization,P2,"Maple analytics,RWA.xyz,Dune",mixed,needs_source_map,"Source and timeframe definitions needed."
Tokenization,Maple,syrupUSDC syrupUSDT stats,mixed,Maple,Tokenization,P2,"Maple analytics,Dune,official app",mixed,needs_source_map,"Includes market cap, yield distributed, holders."
Asset Management,Ethena,USDe sUSDe holders,line,Ethena,Asset Management,P1,"Ethena analytics,DefiLlama stablecoins,Dune",mixed,needs_source_map,"Good asset-management starter."
Asset Management,Ethena,Staked vs unstaked ratio,line,Ethena,Asset Management,P1,"Ethena analytics,DefiLlama stablecoins,Dune",mixed,needs_source_map,"Useful global stablecoin metric."
Asset Management,Ethena,sUSDe yield paid and APY,line,Ethena,Asset Management,P1,"Ethena analytics,Dune,official app",mixed,needs_source_map,"Needs APY methodology."
Asset Management,Ethena,Supply vs reserves,line,Ethena,Asset Management,P1,"Ethena analytics,attestation/reserve disclosures,Dune",mixed,needs_source_map,"High importance; confidence labeling required."
Asset Management,Ethena,Incubated stablecoins TVL and holders,stacked_bar,Ethena,Asset Management,P2,"Ethena announcements,Dune,project dashboards",mixed,unknown,"Needs list of incubated stablecoins."
Asset Management,EtherFi,Debit card spending and active users,line,EtherFi,Asset Management,P2,"EtherFi disclosures,Dune,official dashboards",mixed,unknown,"May not be public."
Asset Management,EtherFi,Restaked ETH and yield,line,EtherFi,Asset Management,P2,"DefiLlama,EtherFi analytics,Dune",mixed,needs_source_map,"Relevant to restaking view."
Asset Management,Falcon,USDf sUSDf holders,line,Falcon,Asset Management,P2,"Falcon app,Dune,DefiLlama stablecoins",mixed,needs_source_map,"Need current source discovery."
Asset Management,Falcon,Collateral value by collateral asset,stacked_bar,Falcon,Asset Management,P2,"Falcon app,official dashboards,Dune",mixed,needs_source_map,"Reserve confidence matters."
Asset Management,Falcon,Vault AUM and yield paid,stacked_bar,Falcon,Asset Management,P2,"Falcon app,Dune",mixed,needs_source_map,"Project-specific."
Infra,Canton,Daily and total active users,line,Canton,Infra,P2,"Canton official metrics,Dune,third-party dashboards",mixed,needs_source_map,"Institutional network metrics may be hard."
Infra,Canton,Total burned tokens,line,Canton,Infra,P2,"Canton official metrics,Dune",mixed,needs_source_map,"Confirm token and burn mechanics."
Infra,Canton,Institutional metrics,mixed,Canton,Infra,P2,"official case studies,project dashboards",mixed,hard,"Likely manual evidence, not automatic dashboard metric."
