Source,URL,Category,Relationship,Freshness / date,What it can answer,Confidence,Use in dossier,Notes
infiniFi docs hub,https://docs.infinifi.xyz/,docs,native,pulled 2026-06-11,Core product model and token definitions,high,yes,Primary docs source for iUSD siUSD liUSD mechanics.
infiniFi deposit quickstart,https://docs.infinifi.xyz/deposit-quickstart,official_site_app,native,pulled 2026-06-11,How Ian can test deposit and mint flow,high,yes,No wallet action performed.
infiniFi vaults docs,https://docs.infinifi.xyz/vaults,native_metrics,native,pulled 2026-06-11,Vault/source mix and active yield venues,high,yes,Generated from protocol API once per day per docs.
infiniFi slashing mechanics,https://docs.infinifi.xyz/slashing-mechanics,risk_docs,native,pulled 2026-06-11,Loss waterfall and senior/junior tranche risk,high,yes,Key source for risk framing.
infiniFi contract addresses,https://docs.infinifi.xyz/dev-docs/contracts,contracts_github_audits,native,pulled 2026-06-11,Deployed contract addresses and supported networks,high,yes,Use for source ledger and practical verification.
infiniFi changelog,https://docs.infinifi.xyz/dev-docs/changelog,docs,native,pulled 2026-06-11,Protocol update history and launch date,high,yes,Docs show gated launch on 2025-05-27 and June 2025 yield-sharing updates.
DefiLlama infiniFi protocol API,https://api.llama.fi/protocol/infinifi,dashboard_api,third_party,pulled 2026-06-11,TVL history and protocol metadata,high,yes,Raw backup saved locally.
DefiLlama infiniFi fees API,https://api.llama.fi/summary/fees/infinifi,dashboard_api,third_party,pulled 2026-06-11,Fees revenue methodology and 24h/7d/30d revenue,high,yes,Raw backup saved locally.
DefiLlama stablecoins API,https://stablecoins.llama.fi/stablecoins?includePrices=true,dashboard_api,third_party,pulled 2026-06-11,IUSD circulation and peg price,high,yes,Matched gecko_id infinifi-usd.
DefiLlama infiniFi page,https://defillama.com/protocol/infinifi,dashboard_api,third_party,pulled 2026-06-11,Average APY pools tracked and income statement context,medium,yes,Search result exposed 7 pools and 7.38 percent average APY.
GitHub infiniFi protocol,https://github.com/InfiniFi-Labs/infinifi-protocol,contracts_github_audits,native,pulled 2026-06-11,Source code activity and protocol overview,high,yes,Repo updated 2026-06-04.
Certora formal verification post,https://www.certora.com/blog/ensuring-fair-redemptions-in-infinifi-with-formal-verification,contracts_github_audits,third_party,published 2025-06-30,Redemption queue fairness issue and mitigation,high,yes,Useful because it explains a resolved high-severity business-logic issue.
Blockworks 0xResearch article,https://blockworks.com/news/yield-protocol-infinifi-banking-onchain,third_party_analysis,third_party,published 2025-06-24,Simple explanation of onchain fractional-reserve angle,medium,yes,Older than 6 months but useful as background only.
infiniFi X account API,https://x.com/infiniFi,social_x,native,pulled 2026-06-11,Recent integrations announcements and account scale,medium,yes,341 posts reviewed over 180 days; use for activity context not hard metrics unless corroborated.
X post - Odyssey native siUSD positions,https://x.com/infiniFi/status/2060438800501809568,social_x,native,posted 2026-05-29,Odyssey app integration signal,medium,yes,Corroborated by multiple posts but still social-source status.
X post - Apyx yield integration,https://x.com/infiniFi/status/2059673692481745314,social_x,native,posted 2026-05-27,Apyx issued yields added to portfolio stack,medium,yes,Use as recent product/integration signal.
X post - Morpho Merkl rewards,https://x.com/infiniFi/status/2062616816489222265,social_x,native,posted 2026-06-04,Current incentive campaign for Morpho vault lenders,medium,yes,Time-sensitive APR; verify before publishing.
YouTube transcript - Edge Podcast private credit,https://www.youtube.com/watch?v=rc_Vz95Jcgw,video_transcript,third_party,pulled 2026-06-11 video published week of run,Current private credit/onchain yield narrative,medium,yes,Transcript backup saved locally.
YouTube transcript - 2026 DeFi predictions panel,https://www.youtube.com/watch?v=Rt57KO05xm0,video_transcript,third_party,pulled 2026-06-11,Current narrative context with InfiniFi participant,medium,yes,Use only for narrative color.
YouTube transcript - DTCC stablecoins panel,https://www.youtube.com/watch?v=JEPpr3V5MIg,video_transcript,third_party,pulled 2026-06-11,Stablecoin/onchain finance context,medium,yes,Use only if within 6 month window; verify exact publish date before quoting.
