pulled_date,project,product_record,sector,metric,value,unit,period,source_name,source_url,source_relationship,confidence,notes
2026-06-02,Uniswap,Uniswap V3,Spot,TVL,1578425747.37,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/uniswap-v3,third_party,high,"Version-specific record; do not silently blend with V2/V4."
2026-06-02,Uniswap,Uniswap V2,Spot,TVL,864022937.94,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/uniswap-v2,third_party,high,"Version-specific record; legacy liquidity."
2026-06-02,Uniswap,Uniswap V4,Spot,TVL,700030972.62,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/uniswap-v4,third_party,high,"Version-specific record; decide whether to show separately or aggregate."
2026-06-02,Aave,Aave V3,Lending,TVL,12707191772.92,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/aave-v3,third_party,high,"Primary Aave MVP record."
2026-06-02,Aave,Aave V4,Lending,TVL,84778610.27,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/aave-v4,third_party,medium,"V4 record exists; hub/spoke metrics still need native source discovery."
2026-06-02,Pendle,Pendle,Derivatives,TVL,1364033515.68,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/pendle,third_party,high,"Good starter TVL record; PT/YT volume needs separate source."
2026-06-02,Hyperliquid,Hyperliquid HLP,Derivatives,TVL,352504644.91,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/hyperliquid-hlp,third_party,medium,"HLP-specific; not total Hyperliquid perps activity."
2026-06-02,Hyperliquid,Hyperliquid Spot Orderbook,Derivatives,TVL,174363731.65,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/hyperliquid-spot-orderbook,third_party,medium,"Spot-orderbook-specific; keep separate from perps and HLP."
2026-06-02,Ethena,Ethena USDe,Asset Management,TVL,4509545213.58,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/ethena-usde,third_party,high,"USDe-specific record; reserves/APY need native source."
2026-06-02,Ethena,Ethena USDtb,Asset Management,TVL,1010469218.45,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/ethena-usdtb,third_party,medium,"Separate Ethena stablecoin product."
2026-06-02,Sky,Sky Lending,Lending,TVL,5874048956.34,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/sky-lending,third_party,high,"Lending/CDP record; APY and Agent metrics need native source."
2026-06-02,Sky,Sky Money,Asset Management,TVL,129046105.33,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/sky-money,third_party,medium,"Separate Sky money product record."
2026-06-02,Sky,Sky RWA,Tokenization,TVL,93808311.01,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/sky-rwa,third_party,medium,"Separate Sky RWA record."
2026-06-02,Ondo,Ondo Yield Assets,Tokenization,TVL,2635035271.71,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/ondo-yield-assets,third_party,high,"Good tokenized-assets starter record."
2026-06-02,Ondo,Ondo Global Markets,Tokenization,TVL,1138179090.71,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/ondo-global-markets,third_party,medium,"Separate Ondo product; confirm MVP scope."
2026-06-02,Aerodrome,Aerodrome Slipstream,Spot,TVL,178083440.38,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/aerodrome-slipstream,third_party,high,"Concentrated-liquidity record; keep separate from V1 unless aggregation is labeled."
2026-06-02,Aerodrome,Aerodrome V1,Spot,TVL,128811551.90,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/aerodrome-v1,third_party,high,"V1 record; keep version labels."
2026-06-02,Morpho,Morpho Blue,Lending,TVL,6887996497.32,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/morpho-blue,third_party,high,"Good starter AUM/TVL record; curator data needs native or Dune source."
2026-06-02,Jupiter,Jupiter Lend,Lending,TVL,911326401.02,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/jupiter-lend,third_party,medium,"Separate product record; not aggregator usage."
2026-06-02,Jupiter,Jupiter Perpetual Exchange,Derivatives,TVL,715720047.62,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/jupiter-perpetual-exchange,third_party,medium,"Perps product record; aggregator and perps should not be mixed."
2026-06-02,Jupiter,Jupiter Staked SOL,Asset Management,TVL,415938093.97,USD,current,DefiLlama protocol,https://api.llama.fi/protocol/jupiter-staked-sol,third_party,medium,"Liquid-staking product record."
