source_name,source_type,free_access,auth_required,verified_status,verified_date,working_base_or_endpoint,metrics_supported,starter_projects_covered,rate_or_quota_notes,implementation_priority,notes
DefiLlama TVL,aggregator,free,no,live_verified,2026-06-04,https://api.llama.fi/protocols,"protocol TVL, chain TVL, protocol metadata, historical TVL","Uniswap,Aave,Pendle,Hyperliquid,Ethena,Sky,Ondo,Aerodrome,Morpho,Jupiter,Curve,Kamino,Euler,Centrifuge,Maple,EtherFi,Falcon,LayerZero,Virtuals",standard free rate limit,P0,"Best current backbone for protocol TVL and product records; Canton coverage may be limited."
DefiLlama Fees/Revenue,aggregator,free,no,live_verified,2026-06-04,https://api.llama.fi/overview/fees?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true,"fees,revenue,30D fees,30D revenue","Uniswap,Aave,Pendle,Hyperliquid,Ethena,Sky,Ondo,Aerodrome,Morpho,Jupiter,Curve,Maple,EtherFi",standard free rate limit,P0,"Good for financials where DefiLlama has protocol adapters; methodology needs visible source note."
DefiLlama DEX Volumes,aggregator,free,no,live_verified,2026-06-04,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true,"DEX volume, chain/project DEX volume, sector share inputs","Uniswap,Curve,Aerodrome,Jupiter",standard free rate limit,P0,"Best free source for DEX volume and sector share; use only for DEX records."
DefiLlama Stablecoins,aggregator,free,no,live_verified,2026-06-04,https://stablecoins.llama.fi/stablecoins,"stablecoin supply, chain distribution, stablecoin metadata","Sky,Ethena,Curve,Falcon,Maple",standard free rate limit,P0,"Docs map this under free API; live working host is stablecoins.llama.fi."
DefiLlama Yields,aggregator,free,no,live_verified,2026-06-04,https://yields.llama.fi/pools,"APY, pool TVL, stablecoin/yield pool history","Sky,Ethena,Maple,Falcon,Pendle,Aave,Morpho,Kamino,EtherFi",standard free rate limit,P0,"Best first pass for APY, but product-native APY should win when available."
CoinGecko Public/Demo API,market_data,free_keyless_and_free_demo,optional_for_keyless_demo_key_for_stable_quota,docs_and_ping_verified,2026-06-04,https://api.coingecko.com/api/v3/ping,"price,market cap,FDV,volume,supply,coin metadata","all tradeable tokens with listed CoinGecko IDs",Demo plan listed as 10k call credits/month and 100 calls/min on current pricing page,P0,"Use Demo key for reliable market cap/FDV once user creates free key; keyless is okay for smoke tests only."
GeckoTerminal Public API,dex_market_data,free,no,live_verified,2026-06-04,https://api.geckoterminal.com/api/v2/networks,"DEX pools, liquidity, pool volume, token pool discovery, OHLCV","Uniswap,Curve,Aerodrome,Jupiter and long-tail DEX pools",30 calls/min public API,P1,"Useful for pool-level DEX checks and tokens not cleanly covered by CoinGecko market endpoints."
DEX Screener API,dex_market_data,free,no,live_verified,2026-06-04,https://api.dexscreener.com/token-profiles/latest/v1,"DEX pairs, token profiles, liquidity, volume, pair search","Uniswap,Curve,Aerodrome,Jupiter,Virtuals,Falcon and long-tail tokens",docs show 60/min and 300/min depending endpoint,P1,"Good no-key fallback for token/pair discovery; less canonical than project-native or CoinGecko for dashboard metrics."
DexPaprika API,dex_market_data,free,no,live_verified,2026-06-04,https://api.dexpaprika.com/networks,"DEX pools, DEX token/pool search, OHLCV, batch prices","Uniswap,Curve,Aerodrome,Jupiter and long-tail DEX tokens",site says no key/no credit card; verify practical limits during implementation,P1,"Promising no-key DEX source; use as secondary/fallback to GeckoTerminal and DEX Screener."
CoinPaprika API,market_data,free,no_for_most_endpoints,live_verified,2026-06-04,https://api.coinpaprika.com/v1/tickers/uni-uniswap,"price,market cap,volume,historical OHLC,coin metadata","listed tradeable tokens",20k requests/month free plan per docs,P1,"Useful backup market-data source; token ID mapping differs from CoinGecko."
