project,sector,token_symbol,coingecko_id,status,metric_role,notes
Uniswap,Spot,UNI,uniswap,verified_search,governance_token,"Ian confirmed UNI."
Jupiter,Spot,JUP,jupiter-exchange-solana,verified_search,governance_token,"CoinGecko search returned Jupiter / JUP. Index sector is Spot per spec; perps tracked as a metric, not a sector home."
Curve,Spot,CRV,curve-dao-token,verified_search,governance_token,"CoinGecko search returned Curve DAO / CRV."
Curve,Spot,veCRV,,product_metric,locked_governance_position,"Track as locked/governance/tokenomics metric, not ordinary market-cap token."
Curve,Spot,crvUSD,,product_metric,stablecoin_product,"Track supply, peg, APY/yield context where available; market price is only a sanity check."
Aerodrome,Spot,AERO,aerodrome-finance,verified_search,governance_token,"CoinGecko search returned Aerodrome Finance / AERO."
Aerodrome,Spot,veAERO,,product_metric,locked_governance_position,"Track locked supply, emissions, incentives, and governance power rather than market cap."
Hyperliquid,Derivatives,HYPE,hyperliquid,verified_search,governance_token,"Ian confirmed HYPE."
Pendle,Derivatives,PENDLE,pendle,verified_search,governance_token,"Ian confirmed PENDLE."
Pendle,Derivatives,vePENDLE,,product_metric,locked_governance_position,"Track locked supply, voting power, incentives, and yield paid."
Aave,Lending,AAVE,aave,verified_search,governance_token,"Ian confirmed AAVE."
Sky,Lending,SKY,sky,verified_search,governance_token,"CoinGecko search returned Sky / SKY."
Sky,Lending,USDS,,product_metric,stablecoin_product,"Track stablecoin supply, holders, peg, reserves, and product usage."
Sky,Lending,sUSDS,,product_metric,yield_bearing_stablecoin,"Track APY, supply, yield paid, and staked/base ratio."
Kamino,Lending,KMNO,kamino,verified_search,governance_token,"CoinGecko search returned Kamino / KMNO."
Morpho,Lending,MORPHO,morpho,verified_search,governance_token,"CoinGecko search returned Morpho / MORPHO."
Euler,Lending,EUL,euler,verified_search,governance_token,"CoinGecko search returned Euler / EUL; Ian referred to this as EULER."
Ondo,Tokenization,ONDO,ondo-finance,verified_search,governance_token,"CoinGecko search returned Ondo / ONDO."
Centrifuge,Tokenization,CFG,centrifuge-2,verified_search,governance_token,"CoinGecko search returned Centrifuge / CFG."
Maple,Tokenization,SYRUP,syrup,verified_search,governance_token,"CoinGecko search returned Maple Finance / SYRUP."
Maple,Tokenization,syrupUSDC,,product_metric,yield_bearing_stablecoin,"Track supply, APY/yield paid, holders, and product usage."
Maple,Tokenization,syrupUSDT,,product_metric,yield_bearing_stablecoin,"Track supply, APY/yield paid, holders, and product usage."
EtherFi,Asset Management,ETHFI,ether-fi,verified_search,governance_token,"CoinGecko search returned Ether.fi / ETHFI."
Ethena,Asset Management,ENA,ethena,verified_search,governance_token,"Ian confirmed ENA."
Ethena,Asset Management,USDe,ethena-usde,verified_search,stablecoin_product,"Ian confirmed USDe; track as product asset."
Ethena,Asset Management,sUSDe,,product_metric,yield_bearing_stablecoin,"Track APY, supply, yield paid, staked/base ratio, and reserves."
Falcon,Asset Management,FF,falcon-finance-ff,verified_search,governance_token,"CoinGecko search returned Falcon Finance / FF."
Falcon,Asset Management,USDf,,product_metric,stablecoin_product,"Track supply, peg, reserves/collateral, holders, and product usage."
Falcon,Asset Management,sUSDf,,product_metric,yield_bearing_stablecoin,"Track APY, supply, yield paid, and staked/base ratio."
Canton,Infra,CC,canton-network,verified_search,governance_token,"CoinGecko search returned Canton / CC."
LayerZero,Infra,ZRO,layerzero,verified_search,governance_token,"CoinGecko search returned LayerZero / ZRO."
Virtuals,AI,VIRTUAL,virtual-protocol,verified_search,governance_token,"CoinGecko search returned Virtuals Protocol / VIRTUAL; Ian referred to this as VIRTUALS."
