project,sector,metric_family,source_name,source_url,source_type,source_relationship,access_method,public_api,login_required,paid_access,date_coverage,update_cadence,definition_notes,confidence,mvp_inclusion,blocker,next_action
Uniswap,Spot,TVL,DefiLlama protocol: Uniswap V3,https://api.llama.fi/protocol/uniswap-v3,data_provider,third_party,api,yes,no,no,historical,unknown,"Protocol split across V2, V3, and V4; aggregate only with explicit version labeling.",high,yes,none,"Use as first spot TVL source; decide whether dashboard shows versions separately or summed."
Uniswap,Spot,TVL,DefiLlama protocol: Uniswap V2,https://api.llama.fi/protocol/uniswap-v2,data_provider,third_party,api,yes,no,no,historical,unknown,"Legacy Uniswap version; useful for complete TVL but should not be blended silently with V3/V4.",high,yes,none,"Include in source ledger; decide aggregation rule."
Uniswap,Spot,TVL,DefiLlama protocol: Uniswap V4,https://api.llama.fi/protocol/uniswap-v4,data_provider,third_party,api,yes,no,no,historical,unknown,"Newer Uniswap version; keep separate until dashboard aggregation rule is approved.",high,yes,none,"Include as separate protocol record in sample data."
Aave,Lending,TVL,DefiLlama protocol: Aave V3,https://api.llama.fi/protocol/aave-v3,data_provider,third_party,api,yes,no,no,historical,unknown,"Primary Aave lending record for MVP comparison.",high,yes,none,"Use for lending TVL/AUM comparison."
Aave,Lending,TVL,DefiLlama protocol: Aave V4,https://api.llama.fi/protocol/aave-v4,data_provider,third_party,api,yes,no,no,historical,unknown,"V4-specific data exists as a separate protocol record, but Ian's hub/spoke request still needs native source discovery.",medium,maybe,"Need hub/spoke deposits source.","Check Aave native docs/dashboard for V4 hub/spoke metrics."
Pendle,Derivatives,TVL,DefiLlama protocol: Pendle,https://api.llama.fi/protocol/pendle,data_provider,third_party,api,yes,no,no,historical,unknown,"Good global protocol record; PT/YT volume and vePENDLE yield still need native/Dune discovery.",high,yes,none,"Use for initial TVL; map Pendle analytics or Dune for project-specific metrics."
Hyperliquid,Derivatives,TVL,DefiLlama protocol: Hyperliquid HLP,https://api.llama.fi/protocol/hyperliquid-hlp,data_provider,third_party,api,yes,no,no,historical,unknown,"Captures HLP product; not the same as total exchange/perps volume.",medium,yes,scope_split,"Keep separate from perps and bridge records."
Hyperliquid,Derivatives,Volume,DefiLlama protocol: Hyperliquid Perps,https://api.llama.fi/protocol/hyperliquid-perps,data_provider,third_party,api,yes,no,no,historical,unknown,"Perps record exists, but dashboard still needs volume/provider definitions for HIP-3/HIP-4.",medium,maybe,"Need HIP-specific source and data provider mapping.","Check Hyperliquid native dashboards and provider dashboards."
Ethena,Asset Management,TVL and stablecoin supply,DefiLlama protocol: Ethena USDe,https://api.llama.fi/protocol/ethena-usde,data_provider,third_party,api,yes,no,no,historical,unknown,"Useful for USDe supply/TVL context; sUSDe APY/yield paid requires native source.",high,yes,none,"Use for initial stablecoin supply/TVL; map Ethena app for APY and reserves."
Ethena,Asset Management,TVL and stablecoin supply,DefiLlama protocol: Ethena USDtb,https://api.llama.fi/protocol/ethena-usdtb,data_provider,third_party,api,yes,no,no,historical,unknown,"Separate Ethena stablecoin product; include only with product labels.",medium,maybe,scope_split,"Decide whether USDtb is in MVP or later."
Sky,Lending,TVL,DefiLlama protocol: Sky Lending,https://api.llama.fi/protocol/sky-lending,data_provider,third_party,api,yes,no,no,historical,unknown,"Useful lending/CDP record; APY and Agent contribution metrics need native source discovery.",high,yes,none,"Use for initial Sky TVL; map Sky app/API for yield metrics."
Sky,Asset Management,RWA and money products,DefiLlama protocol: Sky RWA,https://api.llama.fi/protocol/sky-rwa,data_provider,third_party,api,yes,no,no,historical,unknown,"Separate Sky RWA record; do not blend with Sky Lending without label.",medium,maybe,scope_split,"Add if tokenization/RWA comparison includes Sky."
Ondo,Tokenization,TVL and tokenized assets,DefiLlama protocol: Ondo Yield Assets,https://api.llama.fi/protocol/ondo-yield-assets,data_provider,third_party,api,yes,no,no,historical,unknown,"Good tokenized-assets starting point; asset/sector splits likely need RWA.xyz or Ondo-native source.",high,yes,none,"Use for initial TVL; map RWA.xyz/Ondo for asset-level detail."
Ondo,Tokenization,TVL and tokenized assets,DefiLlama protocol: Ondo Global Markets,https://api.llama.fi/protocol/ondo-global-markets,data_provider,third_party,api,yes,no,no,historical,unknown,"Separate Ondo product; include only if Ian wants global markets in MVP.",medium,maybe,scope_split,"Confirm scope with Ian."
Aerodrome,Spot,TVL,DefiLlama protocol: Aerodrome Slipstream,https://api.llama.fi/protocol/aerodrome-slipstream,data_provider,third_party,api,yes,no,no,historical,unknown,"Aerodrome concentrated-liquidity record; Base volume share still needs source for total Base spot volume.",high,yes,none,"Use for initial TVL; map volume share source separately."
Aerodrome,Spot,TVL,DefiLlama protocol: Aerodrome V1,https://api.llama.fi/protocol/aerodrome-v1,data_provider,third_party,api,yes,no,no,historical,unknown,"Aerodrome V1 record; keep separate from Slipstream unless summed with labels.",high,yes,none,"Include in source ledger; decide aggregation rule."
Morpho,Lending,TVL and AUM,DefiLlama protocol: Morpho Blue,https://api.llama.fi/protocol/morpho-blue,data_provider,third_party,api,yes,no,no,historical,unknown,"Good lending TVL/AUM source; vault/asset/curator detail needs Morpho-native or Dune source.",high,yes,none,"Use for initial lending comparison; map Morpho analytics for curator metrics."
Jupiter,Spot and Derivatives,Aggregator and product TVL,DefiLlama protocol: Jupiter Aggregator,https://api.llama.fi/protocol/jupiter-aggregator,data_provider,third_party,api,yes,no,no,historical,unknown,"Aggregator record exists but reported TVL may not reflect aggregator volume usefulness.",medium,maybe,definition_risk,"Find Jupiter-native volume and product user sources."
Jupiter,Derivatives,Perps TVL,DefiLlama protocol: Jupiter Perpetual Exchange,https://api.llama.fi/protocol/jupiter-perpetual-exchange,data_provider,third_party,api,yes,no,no,historical,unknown,"Separate perps product; useful if derivatives view includes Jupiter.",medium,maybe,scope_split,"Map Jupiter product taxonomy before charting users by product."
